service_id,date,exception_type
BSP24GEN-L049-Weekday-00_C59,20240719,2
BSP24GEN-L049-Weekday-00_C59,20240722,2
BSP24GEN-L049-Weekday-00_C59,20240723,2
BSP24GEN-L049-Weekday-00_C59,20240724,2
BSP24GEN-L049-Weekday-00_C59,20240725,2
BSP24GEN-L049-Weekday-00_C59,20240726,2
BSP24GEN-L049-Weekday-00_C59,20240902,2
BSP24GEN-L049-Weekday-00_C59,20241128,2
BSP24GEN-M027-Sunday-00_C48,20240721,2
BSP24GEN-M027-Sunday-00_C48,20240902,1
BSP24GEN-M027-Sunday-00_C48,20241128,1
BSP24GEN-M028-Saturday-00_C34,20240704,1
BSP24GEN-M028-Saturday-00_C34,20240720,2
BSP24GEN-M092-Weekday-00_C41,20240704,2
BSP24GEN-M092-Weekday-00_C41,20240719,2
BSP24GEN-M092-Weekday-00_C41,20240722,2
BSP24GEN-M092-Weekday-00_C41,20240723,2
BSP24GEN-M092-Weekday-00_C41,20240724,2
BSP24GEN-M092-Weekday-00_C41,20240725,2
BSP24GEN-M092-Weekday-00_C41,20240726,2
BSP24GEN-M092-Weekday-00_C41,20240902,2
BSP24GEN-M092-Weekday-00_C41,20241128,2
BSP24GEN-N056-Saturday-00_C38,20240704,1
BSP24GEN-N056-Saturday-00_C38,20240720,2
BSP24GEN-N059-Sunday-00_C50,20240721,2
BSP24GEN-N059-Sunday-00_C50,20240902,1
BSP24GEN-N059-Sunday-00_C50,20241128,1
BSP24GEN-N098-Weekday-00_C9,20240704,2
BSP24GEN-N098-Weekday-00_C9,20240719,2
BSP24GEN-N098-Weekday-00_C9,20240722,2
BSP24GEN-N098-Weekday-00_C9,20240723,2
BSP24GEN-N098-Weekday-00_C9,20240724,2
BSP24GEN-N098-Weekday-00_C9,20240725,2
BSP24GEN-N098-Weekday-00_C9,20240726,2
BSP24GEN-N098-Weekday-00_C9,20240902,2
BSP24GEN-N098-Weekday-00_C9,20241128,2
BSP24GEN-Q022-Saturday-00_C62,20240704,1
BSP24GEN-Q022-Saturday-00_C62,20240720,2
BSP24GEN-Q024-Sunday-00_C49,20240721,2
BSP24GEN-Q024-Sunday-00_C49,20240902,1
BSP24GEN-Q024-Sunday-00_C49,20241128,1
